model,query_id,query,family,language,extra_docs,trial,pool_docs,top1_score,top10_mean_score,iaea_priority_top10,first_iaea_rank
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline_zh_core,中子,baseline,zh,20,4,33,0.4699205756187439,0.43196791410446167,0.4,1
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline_zh_core,中子,baseline,zh,20,5,33,0.4699205756187439,0.41922926902770996,0.4,1
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline_zh_core,中子,baseline,zh,20,6,33,0.4699205756187439,0.4120911955833435,0.4,1
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline_zh_core,中子,baseline,zh,20,7,33,0.4699205756187439,0.3955596089363098,0.8,1
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline_zh_core,中子,baseline,zh,20,8,33,0.4699205756187439,0.4257444739341736,0.4,1
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline_zh_core,中子,baseline,zh,20,9,33,0.4699205756187439,0.4343954622745514,0.3,1
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline_zh_core,中子,baseline,zh,25,0,38,0.4699205756187439,0.4249838888645172,0.4,1
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline_zh_core,中子,baseline,zh,25,1,38,0.4699205756187439,0.4351678490638733,0.3,1
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline_zh_core,中子,baseline,zh,25,2,38,0.4699205756187439,0.4350949227809906,0.3,1
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline_zh_core,中子,baseline,zh,25,3,38,0.4699205756187439,0.43828511238098145,0.3,1
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline_zh_core,中子,baseline,zh,25,4,38,0.4699205756187439,0.41713327169418335,0.4,1
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline_zh_core,中子,baseline,zh,25,5,38,0.4699205756187439,0.4323377013206482,0.4,1
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline_zh_core,中子,baseline,zh,25,6,38,0.4699205756187439,0.4379154145717621,0.3,1
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline_zh_core,中子,baseline,zh,25,7,38,0.4699205756187439,0.4220268130302429,0.4,1
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline_zh_core,中子,baseline,zh,25,8,38,0.4699205756187439,0.4326980710029602,0.3,1
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline_zh_core,中子,baseline,zh,25,9,38,0.4699205756187439,0.41826361417770386,0.4,1
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline_zh_core,中子,baseline,zh,30,0,43,0.4699205756187439,0.41544586420059204,0.4,1
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline_zh_core,中子,baseline,zh,30,1,43,0.4699205756187439,0.43650445342063904,0.3,1
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline_zh_core,中子,baseline,zh,30,2,43,0.4699205756187439,0.40276622772216797,0.6,1
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline_zh_core,中子,baseline,zh,30,3,43,0.4699205756187439,0.43446746468544006,0.3,1
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline_zh_core,中子,baseline,zh,30,4,43,0.4699205756187439,0.4371948838233948,0.3,1
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline_zh_core,中子,baseline,zh,30,5,43,0.4699205756187439,0.43828511238098145,0.3,1
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline_zh_core,中子,baseline,zh,30,6,43,0.4699205756187439,0.4379154145717621,0.3,1
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline_zh_core,中子,baseline,zh,30,7,43,0.4699205756187439,0.4125251770019531,0.5,1
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline_zh_core,中子,baseline,zh,30,8,43,0.4699205756187439,0.4261142313480377,0.4,1
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline_zh_core,中子,baseline,zh,30,9,43,0.4699205756187439,0.4246240258216858,0.4,1
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline_zh_core,中子,baseline,zh,35,0,48,0.4699205756187439,0.4361347258090973,0.3,1
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline_zh_core,中子,baseline,zh,35,1,48,0.4699205756187439,0.43306785821914673,0.3,1
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline_zh_core,中子,baseline,zh,35,2,48,0.4699205756187439,0.4379252791404724,0.3,1
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline_zh_core,中子,baseline,zh,35,3,48,0.4699205756187439,0.4379154145717621,0.3,1
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline_zh_core,中子,baseline,zh,35,4,48,0.4699205756187439,0.4171130657196045,0.4,1
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline_zh_core,中子,baseline,zh,35,5,48,0.4699205756187439,0.4379154145717621,0.3,1
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline_zh_core,中子,baseline,zh,35,6,48,0.4699205756187439,0.4130246043205261,0.5,1
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline_zh_core,中子,baseline,zh,35,7,48,0.4699205756187439,0.4379154145717621,0.3,1
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline_zh_core,中子,baseline,zh,35,8,48,0.4699205756187439,0.43828511238098145,0.3,1
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline_zh_core,中子,baseline,zh,35,9,48,0.4699205756187439,0.43828511238098145,0.3,1
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline_zh_core,中子,baseline,zh,40,0,53,0.4699205756187439,0.43828511238098145,0.3,1
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline_zh_core,中子,baseline,zh,40,1,53,0.4699205756187439,0.4371948838233948,0.3,1
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline_zh_core,中子,baseline,zh,40,2,53,0.4699205756187439,0.43649452924728394,0.3,1
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline_zh_core,中子,baseline,zh,40,3,53,0.4699205756187439,0.43828511238098145,0.3,1
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline_zh_core,中子,baseline,zh,40,4,53,0.4699205756187439,0.43828511238098145,0.3,1
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline_zh_core,中子,baseline,zh,40,5,53,0.4699205756187439,0.43828511238098145,0.3,1
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline_zh_core,中子,baseline,zh,40,6,53,0.4699205756187439,0.43828511238098145,0.3,1
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline_zh_core,中子,baseline,zh,40,7,53,0.4699205756187439,0.42778143286705017,0.4,1
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline_zh_core,中子,baseline,zh,40,8,53,0.4699205756187439,0.4371948838233948,0.3,1
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline_zh_core,中子,baseline,zh,40,9,53,0.4699205756187439,0.4371948838233948,0.3,1
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline_zh_core,中子,baseline,zh,45,0,58,0.4699205756187439,0.4285116195678711,0.3,1
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline_zh_core,中子,baseline,zh,45,1,58,0.4699205756187439,0.43828511238098145,0.3,1
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline_zh_core,中子,baseline,zh,45,2,58,0.4699205756187439,0.4371948838233948,0.3,1
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline_zh_core,中子,baseline,zh,45,3,58,0.4699205756187439,0.4351579248905182,0.3,1
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline_zh_core,中子,baseline,zh,45,4,58,0.4699205756187439,0.4285116195678711,0.3,1
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline_zh_core,中子,baseline,zh,45,5,58,0.4699205756187439,0.43828511238098145,0.3,1
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline_zh_core,中子,baseline,zh,45,6,58,0.4699205756187439,0.43828511238098145,0.3,1
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline_zh_core,中子,baseline,zh,45,7,58,0.4699205756187439,0.43828511238098145,0.3,1
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline_zh_core,中子,baseline,zh,45,8,58,0.4699205756187439,0.43828511238098145,0.3,1
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline_zh_core,中子,baseline,zh,45,9,58,0.4699205756187439,0.43828511238098145,0.3,1
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline_zh_core,中子,baseline,zh,50,0,63,0.4699205756187439,0.43828511238098145,0.3,1
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline_zh_core,中子,baseline,zh,50,1,63,0.4699205756187439,0.4379252791404724,0.3,1
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline_zh_core,中子,baseline,zh,50,2,63,0.4699205756187439,0.43828511238098145,0.3,1
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline_zh_core,中子,baseline,zh,50,3,63,0.4699205756187439,0.43828511238098145,0.3,1
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline_zh_core,中子,baseline,zh,50,4,63,0.4699205756187439,0.43828511238098145,0.3,1
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline_zh_core,中子,baseline,zh,50,5,63,0.4699205756187439,0.43828511238098145,0.3,1
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline_zh_core,中子,baseline,zh,50,6,63,0.4699205756187439,0.43828511238098145,0.3,1
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline_zh_core,中子,baseline,zh,50,7,63,0.4699205756187439,0.43828511238098145,0.3,1
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline_zh_core,中子,baseline,zh,50,8,63,0.4699205756187439,0.4379252791404724,0.3,1
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline_zh_core,中子,baseline,zh,50,9,63,0.4699205756187439,0.43828511238098145,0.3,1
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline_zh_core,中子,baseline,zh,51,0,64,0.4699205756187439,0.43828511238098145,0.3,1
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline_zh_core,中子,baseline,zh,51,1,64,0.4699205756187439,0.43828511238098145,0.3,1
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline_zh_core,中子,baseline,zh,51,2,64,0.4699205756187439,0.43828511238098145,0.3,1
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline_zh_core,中子,baseline,zh,51,3,64,0.4699205756187439,0.43828511238098145,0.3,1
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline_zh_core,中子,baseline,zh,51,4,64,0.4699205756187439,0.43828511238098145,0.3,1
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline_zh_core,中子,baseline,zh,51,5,64,0.4699205756187439,0.43828511238098145,0.3,1
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline_zh_core,中子,baseline,zh,51,6,64,0.4699205756187439,0.43828511238098145,0.3,1
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline_zh_core,中子,baseline,zh,51,7,64,0.4699205756187439,0.43828511238098145,0.3,1
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline_zh_core,中子,baseline,zh,51,8,64,0.4699205756187439,0.43828511238098145,0.3,1
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline_zh_core,中子,baseline,zh,51,9,64,0.4699205756187439,0.43828511238098145,0.3,1
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline_en_core,neutron,baseline,en,0,0,13,0.5592576265335083,0.5306119918823242,1.0,1
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline_en_core,neutron,baseline,en,5,0,18,0.5592576265335083,0.5341521501541138,0.8,1
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline_en_core,neutron,baseline,en,5,1,18,0.6437991857528687,0.5723516345024109,0.2,6
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline_en_core,neutron,baseline,en,5,2,18,0.6437991857528687,0.5767626762390137,0.2,6
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline_en_core,neutron,baseline,en,5,3,18,0.5592576265335083,0.5306119918823242,1.0,1
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline_en_core,neutron,baseline,en,5,4,18,0.5592576265335083,0.5306119918823242,1.0,1
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline_en_core,neutron,baseline,en,5,5,18,0.5592576265335083,0.5306119918823242,1.0,1
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline_en_core,neutron,baseline,en,5,6,18,0.6498503088951111,0.5667603015899658,0.6,5
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline_en_core,neutron,baseline,en,5,7,18,0.6307096481323242,0.5589160323143005,0.6,4
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline_en_core,neutron,baseline,en,5,8,18,0.6020513772964478,0.5687240958213806,0.2,6
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline_en_core,neutron,baseline,en,5,9,18,0.6020513772964478,0.5611319541931152,0.2,4
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline_en_core,neutron,baseline,en,10,0,23,0.6584867835044861,0.6021496057510376,0.0,11
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline_en_core,neutron,baseline,en,10,1,23,0.5592576265335083,0.532227098941803,0.9,1
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline_en_core,neutron,baseline,en,10,2,23,0.6307096481323242,0.5752049684524536,0.2,7
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline_en_core,neutron,baseline,en,10,3,23,0.6584867835044861,0.6332060694694519,0.0,11
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline_en_core,neutron,baseline,en,10,4,23,0.6523413062095642,0.6029134392738342,0.0,11
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline_en_core,neutron,baseline,en,10,5,23,0.7034332752227783,0.664060115814209,0.0,11
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline_en_core,neutron,baseline,en,10,6,23,0.7034332752227783,0.6675719022750854,0.0,11
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline_en_core,neutron,baseline,en,10,7,23,0.6584867835044861,0.5808591246604919,0.2,6
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline_en_core,neutron,baseline,en,10,8,23,0.6437991857528687,0.5896145701408386,0.1,9
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline_en_core,neutron,baseline,en,10,9,23,0.6584867835044861,0.6133670806884766,0.0,11
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline_en_core,neutron,baseline,en,15,0,28,0.6523413062095642,0.6197603940963745,0.0,11
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline_en_core,neutron,baseline,en,15,1,28,0.6498503088951111,0.5916263461112976,0.1,9
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline_en_core,neutron,baseline,en,15,2,28,0.7034332752227783,0.6653690338134766,0.0,11
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline_en_core,neutron,baseline,en,15,3,28,0.7034332752227783,0.6665742993354797,0.0,11
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline_en_core,neutron,baseline,en,15,4,28,0.6523413062095642,0.6115663647651672,0.0,11
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline_en_core,neutron,baseline,en,15,5,28,0.6307096481323242,0.5813352465629578,0.1,7
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline_en_core,neutron,baseline,en,15,6,28,0.6529061794281006,0.6345317959785461,0.0,11
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline_en_core,neutron,baseline,en,15,7,28,0.6529061794281006,0.6243356466293335,0.0,11
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline_en_core,neutron,baseline,en,15,8,28,0.6584867835044861,0.615492582321167,0.0,11
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline_en_core,neutron,baseline,en,15,9,28,0.6307096481323242,0.5712763071060181,0.4,5
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline_en_core,neutron,baseline,en,20,0,33,0.6584867835044861,0.618604302406311,0.0,11
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline_en_core,neutron,baseline,en,20,1,33,0.7034332752227783,0.667646050453186,0.0,11
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline_en_core,neutron,baseline,en,20,2,33,0.7034332752227783,0.667646050453186,0.0,11
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline_en_core,neutron,baseline,en,20,3,33,0.7034332752227783,0.6690624952316284,0.0,11
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline_en_core,neutron,baseline,en,20,4,33,0.6529061794281006,0.611359179019928,0.0,11
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline_en_core,neutron,baseline,en,20,5,33,0.6529061794281006,0.6345317959785461,0.0,11
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline_en_core,neutron,baseline,en,20,6,33,0.6584867835044861,0.6352882385253906,0.0,11
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline_en_core,neutron,baseline,en,20,7,33,0.6584867835044861,0.619778037071228,0.0,11
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline_en_core,neutron,baseline,en,20,8,33,0.7034332752227783,0.6691488027572632,0.0,11
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline_en_core,neutron,baseline,en,20,9,33,0.7034332752227783,0.6681172847747803,0.0,11
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline_en_core,neutron,baseline,en,25,0,38,0.6398800015449524,0.6058804392814636,0.0,11
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline_en_core,neutron,baseline,en,25,1,38,0.7034332752227783,0.6691488027572632,0.0,11
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline_en_core,neutron,baseline,en,25,2,38,0.6529061794281006,0.6264940500259399,0.0,11
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline_en_core,neutron,baseline,en,25,3,38,0.7034332752227783,0.6706175804138184,0.0,11
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline_en_core,neutron,baseline,en,25,4,38,0.6529061794281006,0.6207019090652466,0.0,11
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline_en_core,neutron,baseline,en,25,5,38,0.6584867835044861,0.6308584213256836,0.0,11
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline_en_core,neutron,baseline,en,25,6,38,0.6584867835044861,0.6244586706161499,0.0,11
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline_en_core,neutron,baseline,en,25,7,38,0.7034332752227783,0.6706740856170654,0.0,11
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline_en_core,neutron,baseline,en,25,8,38,0.7034332752227783,0.6706740856170654,0.0,11
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline_en_core,neutron,baseline,en,25,9,38,0.6584867835044861,0.6371697187423706,0.0,11
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline_en_core,neutron,baseline,en,30,0,43,0.7034332752227783,0.6706175804138184,0.0,11
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline_en_core,neutron,baseline,en,30,1,43,0.7034332752227783,0.6700689792633057,0.0,11
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline_en_core,neutron,baseline,en,30,2,43,0.7034332752227783,0.669371485710144,0.0,11
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline_en_core,neutron,baseline,en,30,3,43,0.7034332752227783,0.6691488027572632,0.0,11
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline_en_core,neutron,baseline,en,30,4,43,0.6584867835044861,0.6357048153877258,0.0,11
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline_en_core,neutron,baseline,en,30,5,43,0.6230018138885498,0.5958126187324524,0.0,11
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline_en_core,neutron,baseline,en,30,6,43,0.7034332752227783,0.6665742993354797,0.0,11
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline_en_core,neutron,baseline,en,30,7,43,0.7034332752227783,0.6709231734275818,0.0,11
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline_en_core,neutron,baseline,en,30,8,43,0.7034332752227783,0.6706175804138184,0.0,11
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline_en_core,neutron,baseline,en,30,9,43,0.7034332752227783,0.6700124740600586,0.0,11
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline_en_core,neutron,baseline,en,35,0,48,0.7034332752227783,0.6700689792633057,0.0,11
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline_en_core,neutron,baseline,en,35,1,48,0.6529061794281006,0.6166444420814514,0.0,11
